Date,Circuit,Country,International,Tournament,CA_1,CA_2,CA_3,CA_4,CA_5,CA_6,CA_7,CA_8,Event_Link,Round_Code,Round,Motion,Infoslide,Topic_Area_1,Topic_Area_2,Topic_Area_3,Topic_Area_Specific_1
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,6,6,THBT developing nations should enshrine legally actionable socioeconomic rights,,Criminal Justice System,Development,,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,7,7,This house would require of police departments that the ethnic composition of their arrests match the ethnic composition of the population in their jurisdiction.,,Criminal Justice System,,,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,Open_X,Open_Quarters,This house believes that supreme/constitutional courts should not have the power to strike down legislation.,,Criminal Justice System,,,
2013-11-10,IoNA,United Kingdom,2,Oxford IV,,,,,,,,,,Novice_Z,Novice_Finals,"THBT when courts sentence offenders, they should give considerable weight to the views of the victims. ",,Criminal Justice System,,,
2015-04-19,North America and Canada,USA,2,HWS Round Robin,Sharmila Parmanand ,,,,,,,,,4,4,"Setting aside infectious diseases, THW work to prevent interaction with tribes who have not had contact with the modern world.",,Development,Minority Communities,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,ESL_X,ESL_Quarters,THW prefer a world in which extremely wealthy people in Western liberal states donate excess money to their governments rather than to charities,,Development,,,
2013-11-15,IoNA,United Kingdom,2,Cambridge IV,,,,,,,,,https://www.facebook.com/events/599836316713988/,2,2,THBT developed countries should set maximum rents for residential properties in large urban centres. ,,Development,Economics,,
2013-11-10,IoNA,United Kingdom,2,Oxford IV,,,,,,,,,,2,2,THBT developing countries should collectivelly agree to radically redistributive tax policies. ,,Development,Economics,,
2015-11-20,IoNA,United Kingdom,2,Cambridge IV,Michael Dunn Goekjian,Syed Saddiq,Emilia Carlqvist,Manos Moschopoulos,,,,,,Open_Y,Open_Semi,TH Opposes the Sharing Economy,The sharing economy refers to peer-to-peer-based sharing of access to goods and services (coordinated through community-based online services). Prominent examples include Uber and AirBnB.,Economics,Technology,,
2015-11-13,IoNA,United Kingdom,2,Oxford IV,Steven Ramesh Rajavinothan,Helena Ivanov,Ben Sprung-Keyser,Marlena Valles,,,,,,Open_X,Open_Quarters,THR the rise of mega-cities,Mega-cities are cities of over 10 million people.,Economics,Development,,
2015-10-17,IoNA,United Kingdom,0,KCL IV,George Clay,Olivia Sundberg Diez,Oskar Pablo Avery,,,,,,,1,1,THW cap every company's highest salary at 10x the lowest salary within that company.,,Economics,Business,,Inequality
2015-10-24,IoNA,United Kingdom,0,SOAS IV,Joe Dyer,Helena Ivanov,Michael Dunn-Goekjian,Jamie Batchelor,,,,,,3,3,TH regrets the decline in oil prices over the last 18 months,,Economics,International Relations,Environment,Energy
2015-10-24,IoNA,United Kingdom,0,SOAS IV,Joe Dyer,Helena Ivanov,Michael Dunn-Goekjian,Jamie Batchelor,,,,,,Open_X,Open_Quarters,THBT the state should reclaim a fixed proportion of all charitable giving and redistribute it to other charities on the basis of their effectiveness,,Economics,Morality,Social Policy,Charities
2015-10-10,IoNA,Ireland,0,UCD IV,Clíodhna Ní Chéileachair,Gavin O' Leary,Helena Ivanov,Ed Mancey,,,,,,4,4,THW allow asylum seekers to work,,Economics,Politics,,
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,9,9,THW introduce a 100% inheritance tax,,Economics,Morality,,
2015-04-19,North America and Canada,USA,2,HWS Round Robin,Sharmila Parmanand ,,,,,,,,,2,2,THW measure gross national happiness and base policy decisions on those measurements.,,Economics,Politics,Social Policy,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,6,6,THBT developing countries should adopt economic development policies that heavily disincentivise urbanisation,,Economics,Development,,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,EFL_Y,EFL_Semis,THW ban its citizens from visiting illiberal states whose economies depend on tourism,,Economics,Development,International Relations,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,ESL_Y,ESL_Semis,THW strictly limit the replacement of workers with technology by companies,,Economics,Science and Technology,,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,Open_Y,Open_Semis,"THBT all states should create special economic zones in cities, where all economic activities (except the purchase of goods and services) are carried out by women",,Economics,Feminism,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,3,3,THBT all states should collectively aggregate and evenly distribute all revenue from mineral wealth globally on a per capita basis,,Economics,International Relations,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,7,7,"TH supports stronger collective bargaining rights and protections rather than legislated labor market regulations (e.g., wage levels and working conditions)",,Economics,Politics,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,EFL_Y,EFL_Semis,TH would retrospectively criminalise excessively risky management practises for economically significant corporations and prosecute the executives responsible for them.,,Economics,Business,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,Open_W,Open_Octos,"TH would nationalize all systemically important financial institutions, such as banks and insurance companies.",,Economics,,,
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,5,5,THIS HOUSE WOULD Make corporation tax proportional to company wage ratios,,Economics,Business,,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,Novice_Y,Novice_Semis,THBT unconditional cash transfer charities are preferable to project based charities,,Economics,Development,,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,Open_W,Open_Octos,THW break up the eurozone,,Economics,International Relations,,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,4,4,This house believes that EU member states should nationalise all their oil and gas resources in order to surrender total ownership and control of them to an EU-run energy agency.,,Economics,International Relations,Politics,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,8,8,"This house believes that micro-finance organisations (including, but not limited to: NGOs, charities and development banks) should offer micro-finance loans in developing nations exclusively to women.",,Economics,Feminism,Development,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,ESL_A,ESL_Tiebreak,This house would make membership in a labour union compulsory for every worker.,,Economics,,,
2013-11-15,IoNA,United Kingdom,2,Cambridge IV,,,,,,,,,https://www.facebook.com/events/599836316713988/,4,4,"THW break up banks like Goldman Sachs, JP Morgan Chase and HSBC, that are deemed ""too big to fail"". ",,Economics,,,
2015-11-20,IoNA,United Kingdom,2,Cambridge IV,Michael Dunn Goekjian,Syed Saddiq,Emilia Carlqvist,Manos Moschopoulos,,,,,,5,5,This house believes that educational institutions should never attempt to restrict the freedom of expression of students or staff (except when mandated by law),,Education,Freedoms,,
2015-10-10,IoNA,Ireland,0,UCD IV,Clíodhna Ní Chéileachair,Gavin O' Leary,Helena Ivanov,Ed Mancey,,,,,,5,5,THBT the government should only fund further education courses that have high graduate employment rates,,Education,Social Policy,Economics,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,3,3,"THBT in areas of socio-economic deprivation, schools should train students in vocational skills to the exclusion of the liberal arts",,Education,Social Policy,,
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,1,1,TH Supports the proliferation of free schools,,Education,,,
2013-11-10,IoNA,United Kingdom,2,Oxford IV,,,,,,,,,,1,1,THW provide mobile teachers for the compulsory education of children in travelling communities (e.g. Roma and Irish travellers),,Education,,,
2015-12-12,IoNA,United Kingdom,0,Birmingham IV,Jennie Hope,Joshua Bailey,Jamie Jackson,Ruby Holmes,,,,,,1,1,THW allow the trophy hunting of endangered animals,"Trophy hunting is the selective and regulated hunting of wild animals, for example lions. Typically, it takes place on reservations, particularly in Africa and North America.",Environment,Economics,,
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,2,2,"This House believes that when multi-national corporations conduct any business in Western states, these nations should enforce their environmental standards at all stages of production.",,Environment,Economics,Business,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,2,2,THBT environmental movements should support climate engineering that fundamentally alters the environment in an attempt to combat global warming,,Environment,,,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,ESL_X,ESL_Quarters,This house would require companies to place images of animal suffering on all products or food whose production harmed or killed animals.,,Environment,Business,,
2013-11-15,IoNA,United Kingdom,2,Cambridge IV,,,,,,,,,https://www.facebook.com/events/599836316713988/,1,1,"THW give primates and cetaceans the same rights to life, freedom from physical harm and freedom of movement as humans. ",,Environment,Morality,Freedoms,
2013-11-15,IoNA,United Kingdom,2,Cambridge IV,,,,,,,,,https://www.facebook.com/events/599836316713988/,ESL_Y,ESL_Semis,THW prevent those who deny climate change from seeking political office. ,,Environment,Politics,,
2013-11-10,IoNA,United Kingdom,2,Oxford IV,,,,,,,,,,4,4,THW require major polluters to open their borders to environmental refugees. ,,Environment,International Relations,,
2015-11-13,IoNA,United Kingdom,2,Oxford IV,Steven Ramesh Rajavinothan,Helena Ivanov,Ben Sprung-Keyser,Marlena Valles,,,,,,Novice_Z,Novice_Final,"THW create and enforce filial responsibility laws (mandating that people take care of their parents)"" - or words to that effect",,Family,Economics,,
2015-11-13,IoNA,United Kingdom,2,Oxford IV,Steven Ramesh Rajavinothan,Helena Ivanov,Ben Sprung-Keyser,Marlena Valles,,,,,,ESL_Z,ESL_Final,THR the institutions of marriage and civil partnership,,Family,Social Policy,Feminism,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,1,1,THR the decline of tightly integrated families,,Family,,,
2015-11-13,IoNA,United Kingdom,2,Oxford IV,Steven Ramesh Rajavinothan,Helena Ivanov,Ben Sprung-Keyser,Marlena Valles,,,,,,5,5,"This house would allow opponents of abortion to sign legally-binding contracts with pregnant women, in which they pay those pregnant women not to have an abortion.",,Feminism,Religion,Economics,Abortion
2015-10-17,IoNA,United Kingdom,0,KCL IV,George Clay,Olivia Sundberg Diez,Oskar Pablo Avery,,,,,,,2,2,"In countries with few female politicians, THBT it is good to have a politically active First Lady.",,Feminism,Politics,,
2015-10-24,IoNA,United Kingdom,0,SOAS IV,Joe Dyer,Helena Ivanov,Michael Dunn-Goekjian,Jamie Batchelor,,,,,,1,1,THW give women two votes in political elections,,Feminism,Politics,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,8,8,THBT the creation of feminist icons and their cults of personality are good for the feminist movement,,Feminism,Art and Culture,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,Masters_1,Masters_1,"Assuming the technology to do so easily and safely exists, THW force everyone in society to undergo periodic sex changes.",,Feminism,LGBT+,Medical Ethics,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,Open_Y,Open_Semis,"TH regrets campaigns by feminists to shut down female empowerment events exclusively for cis women, like Michfest.","Every year in August since 1976, several thousand women have set up camps and lived in a matriarchal society at the Michigan Womyn's Music Festival. The festival included workshops, classes, free childcare, and teams to help disabled women participate. The Michfest, as it is called, was only open to cis women. Michfest is one of many such groups that has come under increasing criticism and protest from feminists and was forced to shut down after its 2015 event.",Feminism,LGBT+,,
2014-08-19,Europe,"Zagreb, Croatia",2,Zagreb EUDC,Rebecca Meredith,Milan Vignjevic,Alon van Dam,Ashish Kumar,Engin Arikan,Maja Cimerman,Sella Nevo,Tomas Beerthuis,,Open_Z,Open_Finals,This House believes that feminist movement should oppose military interventions which claim to further women's rights,,Feminism,"Security, War and Military",International Relations,
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,Open_Z,Final,"THW Allow individuals to sign contracts which cede future rights of theirs to other individuals (for example, to sell themselves into slavery)",,Freedoms,Economics,,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,4,4,THW ban eminent domain rights,,Freedoms,,,
2016-02-13,IoNA,Wales,0,Swansea Open,Craig McDonald,Elizabeth Chloe Romanis,,,,,,,,Open_Z,Final,"Your 'one true soulmate' exists. There is a test that allows you to determine whether someone is your one true soulmate. You are in love with the person you have been dating for a while.
THW take the test to determine whether the person you are in love with is your 'soulmate'",,Funny,The Human Experience,,
2015-12-12,IoNA,United Kingdom,0,Birmingham IV,Jennie Hope,Joshua Bailey,Jamie Jackson,Ruby Holmes,,,,,,5,5,THBT African Union states should withdraw from the International Criminal Court and set up an African alternative,,International Relations,Criminal Justice System,,
2015-12-12,IoNA,United Kingdom,0,Birmingham IV,Jennie Hope,Joshua Bailey,Jamie Jackson,Ruby Holmes,,,,,,Open_Z,Open_Final,THBT the USA should publicly apologise for the bombing of Hiroshima and Nagasaki,,International Relations,"Security, War and Military",,WWII
2015-11-22,IoNA,United Kingdom,0,Cambridge Women's Open,Srishti Krishnamoorthy,Olivia Sundberg Diez,Helena Ivanov,,,,,,,4,4,"THBT states should take high numbers of refugees, even when faced with strong democratic opposition.",,International Relations,Politics,,Refugee Crisis
2015-11-22,IoNA,United Kingdom,0,Cambridge Women's Open,Srishti Krishnamoorthy,Olivia Sundberg Diez,Helena Ivanov,,,,,,,ESL_Z,ESL_Final,THBT Britain should pay reparations to its former colonies.,,International Relations,Morality,,Colonialism
2015-11-20,IoNA,United Kingdom,2,Cambridge IV,Michael Dunn Goekjian,Syed Saddiq,Emilia Carlqvist,Manos Moschopoulos,,,,,,2,2,This house regrets the eastward expansion of the European Union during and since 2004,"In 2004, the EU expanded to include Malta, Cyprus, Estonia, Latvia, Lithuania, Poland, Czech Republic, Slovak Republic, Slovenia, and Hungary. In 2007, it expanded to include Romania and Bulgaria. In 2013, it expanded to include Croatia.",International Relations,Politics,Economics,EU
2015-11-20,IoNA,United Kingdom,2,Cambridge IV,Michael Dunn Goekjian,Syed Saddiq,Emilia Carlqvist,Manos Moschopoulos,,,,,,4,4,This house believes that Israel should have continued the occupation of Gaza,"In September 2005, Israel removed all of its troops and settlers from the Gaza strip. The territory is now under the control of the Islamist group Hamas.",International Relations,"Security, War and Military",,Israel-Palestine
2015-11-20,IoNA,United Kingdom,2,Cambridge IV,Michael Dunn Goekjian,Syed Saddiq,Emilia Carlqvist,Manos Moschopoulos,,,,,,Open_X,Open_Quarters,THR the partition of India,,International Relations,,,
2015-11-20,IoNA,United Kingdom,2,Cambridge IV,Michael Dunn Goekjian,Syed Saddiq,Emilia Carlqvist,Manos Moschopoulos,,,,,,Open_Z,Open_Final,"THBT the international community should pay countries near to conflict zones to process, settle and restrict the further movement of refugees",,International Relations,,,Refugee Crisis
2015-11-13,IoNA,United Kingdom,2,Oxford IV,Steven Ramesh Rajavinothan,Helena Ivanov,Ben Sprung-Keyser,Marlena Valles,,,,,,4,4,This House believes that Western Liberal Democracies should boycott the 2018 FIFA World Cup in Russia.,,International Relations,Sports,LGBT+,
2015-10-17,IoNA,United Kingdom,0,KCL IV,George Clay,Olivia Sundberg Diez,Oskar Pablo Avery,,,,,,,Novice_Z,Novice_Final,"TH as Western Countries ( EU, US, Canada, Australia) would stop selling arms to Saudi Arabia.",,International Relations,"Security, War and Military",,
2015-10-24,IoNA,United Kingdom,0,SOAS IV,Joe Dyer,Helena Ivanov,Michael Dunn-Goekjian,Jamie Batchelor,,,,,,5,5,THW allow countries to pay other countries to settle refugees who reach their borders,,International Relations,Economics,,Refugee Crisis
2015-10-24,IoNA,United Kingdom,0,SOAS IV,Joe Dyer,Helena Ivanov,Michael Dunn-Goekjian,Jamie Batchelor,,,,,,ESL_Z,ESL_Final,"THBT countries, like Switzerland, that were neutral in WW II should pay financial reparations to states occupied by the Nazis",,International Relations,WWII,,
2015-10-10,IoNA,Ireland,0,UCD IV,Clíodhna Ní Chéileachair,Gavin O' Leary,Helena Ivanov,Ed Mancey,,,,,,3,3,THBT the West should abandon its foreign policy aim of removing Assad from power,,International Relations,"Security, War and Military",,Syria
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,5,5,This House believes that the European Union should lift its arms embargo on China.,,International Relations,"Security, War and Military",,
2015-04-19,North America and Canada,USA,2,HWS Round Robin,Sharmila Parmanand ,,,,,,,,,1,1,THS establishing an independent state of Kurdistan.,,International Relations,,,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,5,5,THBT the international community should cut off internet access in Syria,,International Relations,Science and Technology,"Security, War and Military",
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,8,8,THBT the US and EU should seek to promote peace by heavily subsidising Israeli businesses who invest in the Palestinian territories,,International Relations,,,Israel-Palestine
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,ESL_Z,ESL_Finals,"THBT liberal democracies that overthrow the governments of other states should impose power-sharing, even when this severely overrides or delays democratic representation",,International Relations,Politics,"Security, War and Military",
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,Open_X,Open_Quarters,TH regrets the decline of secular pan-Arab nationalism,,International Relations,Politics,Religion,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,Open_Z,Open_Final,"THBT humanitarian organisations should, and should be allowed to, give funding, resources or services to illegal armed groups when this is made a condition for access to vulnerable civilians",,International Relations,Social Policy,Terrorism,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,5,5,THBT the US should withdraw from East Asia and cede regional hegemony to China.,,International Relations,"Security, War and Military",,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,ESL_Y,ESL_Semis,THB the West should prioritize stability over exporting democracy in foreign policy,,International Relations,Politics,,
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,ESL_Y,ESL Semifinal,THW Introduce a system of tradable quotas for asylum seekers in the European Union,,International Relations,Economics,,EU
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,Open_X,Open Quarterfinal,THW Introduce a system of tradable quotas for asylum seekers in the European Union,,International Relations,Economics,,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,3,3,THR the Arab Spring,,International Relations,Politics,,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,Novice_Z,Novice_Final,"Given the technological capability to disable their nuclear weapons, THW invade North Korea.",,International Relations,,,
